	GS000a	GS000b	GS000c	GS000d	GS001a	GS001b	GS001c	GS002	GS003	GS004	GS005	GS006	GS007	GS008	GS009	GS010	GS011	GS012	GS013	GS014	GS015	GS016	GS017	GS018	GS019	GS020	GS021	GS022	GS023	GS025	GS026	GS027	GS028	GS029	GS030	GS031	GS032	GS033	GS034	GS035	GS036	GS037	GS038	GS039	GS040	GS041	GS042	GS043	GS044	GS045	GS046	GS047	GS048a	GS049	GS050	GS051	GS048b	GS108a	GS108b	GS109	GS110a	GS110b	GS111	GS112a	GS112b	GS113	GS114	GS115	GS116	GS117a	GS117b	GS119	GS120	GS121	GS122a	GS122b	GS123	GS148	GS149
UPF0278	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MIG-14_Wnt-bd	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF2854	10	5	3	15	3	4	1	0	0	0	0	0	0	0	0	0	0	0	1	2	22	1	22	10	11	1	1	1	8	15	11	8	2	2	6	0	0	18	19	0	0	0	0	0	0	0	0	0	0	0	0	2	6	17	0	0	7	0	1	8	11	3	2	3	8	6	19	8	1	2	5	5	3	4	8	5	2	3	4
Kelch_1	16	40	62	50	43	56	5	12	7	5	3	1	3	14	3	6	15	10	40	3	12	7	16	4	12	65	25	11	6	70	1	13	6	5	23	30	30	81	11	17	4	4	0	0	1	0	0	0	0	0	0	7	5	4	0	12	13	3	5	5	2	30	4	5	23	5	27	3	3	22	13	7	3	7	8	22	5	8	7
Transket_pyr	932	797	792	811	85	93	277	249	135	130	114	124	93	292	148	168	284	304	235	294	303	302	641	351	325	608	324	328	312	81	253	576	540	375	1049	1285	273	1703	313	368	170	203	1	0	0	1	0	2	2	1	0	177	167	201	0	312	43	97	72	130	209	46	119	183	38	273	696	131	115	686	58	144	78	279	199	43	243	231	241
DUF2262	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HgmA	125	24	67	36	7	3	5	9	10	4	4	2	5	9	11	5	3	4	13	5	8	15	18	11	10	15	11	11	17	7	2	18	27	5	27	37	16	64	13	17	3	6	0	0	0	0	0	0	0	0	0	7	7	5	0	9	3	6	10	4	5	5	9	2	1	7	12	3	4	24	2	7	1	4	3	1	13	4	6
LRR_adjacent	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DUF3114	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EcoRI	0	0	0	0	0	0	0	4	1	0	0	2	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0
VD10_N	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
DUF2931	4	0	0	1	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF3254	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pecanex_C	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cloacin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPN7	9	19	29	13	3	8	2	5	11	3	1	7	2	10	0	5	3	5	12	6	7	9	17	5	6	1	4	8	4	10	7	19	16	10	36	53	20	12	8	16	6	3	0	0	0	0	0	1	0	0	0	1	0	3	0	3	3	1	3	2	5	6	3	3	2	10	14	1	4	18	5	3	1	7	4	2	7	3	4
GETHR	2	3	1	4	27	2	1	1	0	1	0	0	1	0	0	0	2	0	2	0	1	0	1	1	1	0	1	0	0	2	0	0	0	0	0	3	27	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	7	0	2	0
Ta0938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A_deaminase_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zot	21	11	21	12	1	2	3	10	6	0	1	4	4	8	4	3	9	9	13	6	4	6	11	9	7	25	11	4	4	2	1	11	8	3	7	14	29	26	3	4	4	2	0	0	0	0	0	0	0	1	0	1	3	2	0	4	2	3	1	0	0	0	1	5	2	3	12	3	2	16	2	3	1	1	1	1	2	2	2
GRAM	0	0	3	4	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	5	0	0	0
A-2_8-polyST	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF1651	74	22	9	54	5	12	7	0	1	3	0	0	0	1	0	0	0	0	1	4	74	20	108	64	57	1	13	26	50	53	68	65	11	9	14	2	0	8	70	3	3	0	0	0	0	1	0	0	0	0	0	7	10	52	1	1	17	12	18	30	25	22	14	26	18	32	115	17	21	24	23	25	25	47	39	17	22	19	15
DUF760	8	1	4	11	2	5	0	4	1	0	0	0	0	0	0	0	0	0	0	1	9	5	17	6	8	0	2	3	12	16	7	6	1	0	4	1	0	16	6	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	0	0	6	2	3	2	5	0	0	11	1	2	9	2	0	3	5	4	3	3	9	1	6	1	3
Med4	0	1	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
UPF0261	1	2	2	3	0	1	1	1	2	6	0	1	4	16	2	3	4	6	6	1	3	0	3	3	4	28	2	0	2	0	1	15	15	3	21	9	7	13	5	11	4	5	0	0	0	0	0	0	0	0	0	1	3	0	0	2	1	2	3	1	2	0	1	2	0	0	6	0	0	5	1	1	0	2	3	0	1	1	3
MoeA_N	276	93	139	100	5	20	20	42	19	19	28	22	18	49	35	27	40	42	43	58	31	40	82	36	37	82	35	37	30	0	23	82	46	60	174	211	35	345	43	56	35	25	0	1	0	0	2	0	0	0	2	23	17	21	0	52	9	10	8	22	26	9	14	18	2	37	83	17	28	111	12	16	11	34	33	5	36	31	29
RED_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM_5_12	82	6	11	7	2	14	3	24	3	11	56	0	6	26	1	5	14	19	14	14	10	19	28	12	8	63	9	10	10	37	4	38	25	9	8	23	5	145	18	11	7	7	0	0	0	0	1	0	1	0	0	7	5	1	0	22	8	4	4	1	4	11	3	3	7	9	31	6	9	46	17	2	3	3	5	5	5	3	9
DUF1817	9	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	4	0	0	3	0	5	3	0	1	2	0	18	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	7	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	3	2
Kunitz_legume	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herpes_UL56	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BEN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF761	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraG_N	65	5	2	0	2	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	1	6	0	0	0	1	0	0	0	6	0	4	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	1	0
GreA_GreB_N	187	130	159	137	11	13	41	44	27	26	27	31	13	59	30	31	59	56	43	66	49	39	75	54	57	124	45	52	37	9	44	89	99	61	205	239	63	264	46	54	37	33	0	0	0	0	0	0	0	0	0	24	32	24	0	47	7	14	14	19	23	4	16	22	4	34	110	25	23	104	3	19	10	50	34	5	37	35	40
DUF2895	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PilZ	229	31	16	9	2	7	1	0	1	4	5	3	0	20	5	7	13	3	8	2	4	6	12	9	7	29	6	0	9	8	7	2	2	0	7	4	100	110	6	0	2	1	0	0	0	0	0	0	0	0	0	3	18	5	0	3	15	3	8	5	2	3	2	5	3	3	9	3	4	10	4	1	1	1	1	2	3	6	7
Disaggr_assoc	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DUF350	59	19	25	16	1	2	2	0	2	0	0	0	2	3	0	1	1	0	1	7	3	5	6	7	3	3	2	0	4	5	1	10	2	0	2	12	2	0	1	2	2	4	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	1	1	1	1	0	3	2	2	4	7	1	5	2	1	2	0	2	3	0	1	2	1
N2227	0	1	4	3	4	1	0	1	0	0	0	0	3	0	0	0	2	0	3	0	1	0	2	0	2	0	0	0	0	0	0	1	0	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	2	0	1	0	0	2	1	0	0	0	1	0	0	0	0
KIX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Git3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF1997	38	7	1	15	7	6	6	0	0	0	2	0	1	0	0	0	0	0	3	9	12	9	16	8	11	0	1	5	13	13	13	19	5	2	2	0	0	41	36	1	0	0	0	0	0	0	2	0	0	0	0	6	5	25	0	1	6	4	5	10	9	2	6	9	8	4	25	5	5	2	14	5	7	9	8	8	4	8	6
GATase_2	1087	875	855	860	72	91	239	280	136	115	93	170	104	267	179	177	265	252	248	367	311	263	580	347	349	414	269	315	293	70	277	546	504	395	1073	1253	309	1084	336	367	200	141	0	2	0	1	2	1	1	1	2	187	167	193	9	276	48	105	51	130	168	29	136	190	39	248	679	112	125	718	56	161	83	256	234	40	269	215	217
Dynactin_p22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
UPF0027	100	13	28	10	3	1	0	0	0	0	1	3	1	3	9	4	8	4	1	4	15	9	19	10	2	39	13	7	4	4	1	7	10	6	2	32	39	50	0	6	9	4	1	2	1	0	0	0	0	0	0	6	0	7	0	14	4	3	2	4	4	2	1	8	2	7	9	3	3	22	3	2	0	7	1	1	5	2	4
Retinin_C	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIM	221	228	270	204	24	21	70	63	46	22	13	42	19	72	57	48	83	91	65	61	94	87	170	100	92	169	102	64	88	31	61	126	130	99	304	316	90	419	104	119	48	42	1	0	4	0	0	0	0	0	2	38	57	56	2	86	13	32	17	30	48	18	40	65	17	71	214	36	44	190	17	50	27	77	78	13	52	65	82
LuxS	33	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HisK_N	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pox_A32	2	8	4	4	7	5	1	25	6	2	12	2	10	7	5	1	12	12	12	6	5	0	18	4	7	4	4	4	4	2	2	7	2	3	4	20	8	7	5	5	6	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	3	2	1	1	1	2	0	1	8	2	2	5	0	1	0	2	2	4	4	2	0
Bunya_NS-S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Nup188	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF1888	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PAT1	0	1	2	0	1	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cas_Csy1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sec_GG	312	281	246	273	25	30	72	79	37	38	40	34	26	81	30	51	72	73	72	92	95	75	193	118	102	95	97	103	106	30	91	153	123	101	298	318	90	337	100	105	53	43	0	0	1	0	0	2	0	0	0	60	63	75	0	89	25	26	12	48	51	8	44	57	8	83	226	52	37	196	13	44	46	83	66	12	78	69	64
ABM	286	115	173	116	26	22	48	32	29	30	10	30	22	82	33	24	52	52	65	40	50	41	98	56	50	78	50	33	60	17	37	103	87	63	182	180	23	232	48	54	26	35	0	0	0	1	1	0	0	1	0	34	33	38	0	34	15	16	21	29	23	8	16	27	11	28	88	23	16	101	10	23	14	40	28	7	40	50	37
RMF	20	0	0	0	1	0	0	0	2	0	1	2	0	2	0	0	0	1	2	1	0	0	3	1	1	0	1	2	0	0	0	0	0	1	0	1	6	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	3	0	0
Binary_toxA	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM	181	59	112	57	15	16	18	17	17	15	10	19	7	50	36	27	37	31	24	43	50	45	90	53	35	128	46	53	34	32	28	66	72	47	52	90	77	156	26	39	42	25	0	1	0	0	0	0	0	1	0	18	20	23	0	53	12	9	10	11	27	23	23	28	19	37	61	14	11	83	20	16	6	32	21	8	22	26	19
SbmA_BacA	210	147	86	158	13	14	53	53	18	14	12	31	28	67	40	30	41	28	23	49	54	48	93	87	60	28	57	54	57	10	64	123	98	69	197	253	34	14	91	108	24	36	1	0	0	0	1	6	0	0	0	37	39	46	0	63	3	23	5	30	31	4	36	47	6	46	125	23	36	133	15	50	31	59	46	2	68	31	45
RLI	2	5	12	5	0	0	0	2	0	0	0	0	0	2	2	0	0	0	1	8	5	4	9	6	0	11	3	0	6	0	1	0	0	0	0	3	6	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	5	1	2	1	0	0	1	5	0	0	2	2	1	2	6	0	0	0	1	1	1	2	0	1
Novirhabdo_Nv	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF1273	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ligase_CoA	599	499	464	452	36	38	154	132	47	62	51	98	50	141	72	95	133	124	115	170	159	157	278	145	134	289	125	140	140	26	125	289	268	169	573	738	131	522	216	178	112	112	0	4	0	2	7	0	0	4	0	94	98	83	0	144	10	54	21	64	78	9	66	92	17	124	329	73	66	353	23	77	46	116	97	9	145	112	114
Defensin_propep	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FliW	4	1	10	7	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	5	2	2	1	5	1	1	1	3	1	2	0	2	5	9	8	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	1	0	0	2	1	0	1	0	0	2	0	1	2	0	0	0	0	2	0	1	0	0
Rab5-bind	2	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	2	0	0	1	0	0	1	0	1	1
FBPase_2	0	4	4	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	3	1	2	1	1	1	2	1	1	0	1	0	0	0	0	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	3	2	1
